Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
6/22/2020,Norfolk,0-9,23,0,0
6/22/2020,Cumberland Plateau,40-49,6,0,0
6/22/2020,Eastern Shore,10-19,57,1,0
6/22/2020,Mount Rogers,10-19,48,0,0
6/22/2020,Rappahannock Rapidan,0-9,71,1,0
6/22/2020,Three Rivers,0-9,9,1,0
6/22/2020,Henrico,40-49,351,23,1
6/22/2020,Alexandria,50-59,293,47,9
6/22/2020,Arlington,0-9,43,2,0
6/22/2020,Chickahominy,Missing,12,0,0
6/22/2020,New River,20-29,39,0,0
6/22/2020,Virginia Beach,20-29,205,3,0
6/22/2020,Chesapeake,50-59,118,18,1
6/22/2020,Alleghany,80+,24,8,5
6/22/2020,Fairfax,10-19,760,22,0
6/22/2020,Chesapeake,60-69,97,22,4
6/22/2020,West Piedmont,Missing,0,0,0
6/22/2020,Peninsula,80+,50,24,15
6/22/2020,Crater,40-49,197,13,1
6/22/2020,Chesapeake,40-49,124,17,0
6/22/2020,Thomas Jefferson,20-29,127,1,0
6/22/2020,Lord Fairfax,20-29,322,4,0
6/22/2020,Norfolk,20-29,191,2,0
6/22/2020,Arlington,30-39,439,41,0
6/22/2020,West Piedmont,60-69,43,5,0
6/22/2020,Henrico,50-59,298,32,8
6/22/2020,West Piedmont,50-59,83,10,1
6/22/2020,Cumberland Plateau,20-29,2,0,0
6/22/2020,Alexandria,70-79,100,37,15
6/22/2020,Portsmouth,20-29,80,4,0
6/22/2020,Western Tidewater,30-39,103,6,0
6/22/2020,Central Shenandoah,0-9,49,0,0
6/22/2020,Henrico,80+,307,65,68
6/22/2020,Alexandria,0-9,122,2,0
6/22/2020,Pittsylvania-Danville,40-49,39,5,0
6/22/2020,Henrico,20-29,327,14,0
6/22/2020,Roanoke,60-69,28,3,0
6/22/2020,Peninsula,30-39,138,7,1
6/22/2020,Alleghany,60-69,35,7,1
6/22/2020,Prince William,70-79,273,74,38
6/22/2020,Norfolk,60-69,72,24,1
6/22/2020,Southside,40-49,42,5,0
6/22/2020,Chesterfield,30-39,546,4,0
6/22/2020,Loudoun,70-79,137,40,14
6/22/2020,Central Virginia,40-49,44,0,0
6/22/2020,New River,Missing,0,0,0
6/22/2020,Chickahominy,20-29,77,0,0
6/22/2020,New River,0-9,3,0,0
6/22/2020,Cumberland Plateau,0-9,0,0,0
6/22/2020,Three Rivers,70-79,33,8,6
6/22/2020,Rappahannock Rapidan,40-49,285,19,2
6/22/2020,Hampton,0-9,10,0,0
6/22/2020,Piedmont,50-59,176,19,0
6/22/2020,Rappahannock,20-29,386,11,0
6/22/2020,West Piedmont,20-29,49,1,0
6/22/2020,Arlington,70-79,171,72,32
6/22/2020,Arlington,50-59,371,66,6
6/22/2020,Piedmont,70-79,62,17,2
6/22/2020,Alexandria,60-69,190,44,2
6/22/2020,Portsmouth,30-39,88,4,0
6/22/2020,Lenowisco,20-29,7,0,0
6/22/2020,Central Virginia,30-39,50,2,0
6/22/2020,Norfolk,10-19,44,1,0
6/22/2020,New River,10-19,10,0,0
6/22/2020,Central Virginia,20-29,62,2,0
6/22/2020,Rappahannock,50-59,352,42,4
6/22/2020,Rappahannock,60-69,200,43,5
6/22/2020,Piedmont,20-29,150,2,0
6/22/2020,New River,60-69,21,2,0
6/22/2020,Roanoke,40-49,48,1,0
6/22/2020,Three Rivers,20-29,107,4,0
6/22/2020,Rappahannock,40-49,413,35,2
6/22/2020,Portsmouth,80+,20,7,3
6/22/2020,Central Shenandoah,Missing,0,0,0
6/22/2020,Eastern Shore,70-79,47,15,9
6/22/2020,Mount Rogers,70-79,56,24,9
6/22/2020,Cumberland Plateau,70-79,2,0,0
6/22/2020,Piedmont,10-19,30,0,0
6/22/2020,Southside,20-29,38,2,0
6/22/2020,Chesterfield,50-59,393,29,4
6/22/2020,Rappahannock Rapidan,20-29,266,4,0
6/22/2020,Cumberland Plateau,60-69,5,1,0
6/22/2020,Roanoke,70-79,10,3,0
6/22/2020,Central Shenandoah,20-29,358,5,0
6/22/2020,Pittsylvania-Danville,80+,3,2,2
6/22/2020,Virginia Beach,80+,84,28,18
6/22/2020,Central Shenandoah,50-59,342,30,2
6/22/2020,Lenowisco,Missing,0,0,0
6/22/2020,Fairfax,30-39,2629,159,4
6/22/2020,Lenowisco,60-69,5,4,2
6/22/2020,Loudoun,30-39,673,22,0
6/22/2020,West Piedmont,80+,13,6,0
6/22/2020,Roanoke,80+,38,3,10
6/22/2020,Fairfax,40-49,2555,232,8
6/22/2020,Thomas Jefferson,80+,73,23,14
6/22/2020,Roanoke,20-29,66,2,0
6/22/2020,Henrico,60-69,274,44,26
6/22/2020,Lord Fairfax,40-49,293,15,1
6/22/2020,Western Tidewater,Missing,5,0,0
6/22/2020,Chickahominy,60-69,73,18,6
6/22/2020,Chesapeake,20-29,111,3,0
6/22/2020,Three Rivers,Missing,1,0,0
6/22/2020,Henrico,10-19,125,3,0
6/22/2020,Mount Rogers,30-39,93,4,0
6/22/2020,Eastern Shore,30-39,234,8,0
6/22/2020,Lord Fairfax,60-69,207,41,10
6/22/2020,Western Tidewater,0-9,6,0,0
6/22/2020,Rappahannock,70-79,93,26,13
6/22/2020,Prince William,80+,218,73,62
6/22/2020,Hampton,80+,5,3,2
6/22/2020,Alexandria,80+,86,28,22
6/22/2020,Mount Rogers,60-69,74,7,0
6/22/2020,Eastern Shore,60-69,173,26,8
6/22/2020,Lord Fairfax,70-79,119,33,14
6/22/2020,New River,30-39,22,1,0
6/22/2020,Chesapeake,10-19,37,1,0
6/22/2020,Hampton,40-49,42,3,0
6/22/2020,Peninsula,Missing,7,0,0
6/22/2020,Henrico,70-79,201,44,34
6/22/2020,Western Tidewater,20-29,62,2,0
6/22/2020,Peninsula,0-9,32,0,0
6/22/2020,Loudoun,40-49,746,44,1
6/22/2020,Pittsylvania-Danville,30-39,20,1,0
6/22/2020,Loudoun,20-29,606,6,0
6/22/2020,Crater,60-69,194,37,10
6/22/2020,Loudoun,80+,185,49,63
