Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
5/30/2020,Norfolk,0-9,9,0,0
5/30/2020,Cumberland Plateau,40-49,6,0,0
5/30/2020,Eastern Shore,10-19,44,0,0
5/30/2020,Mount Rogers,10-19,27,0,0
5/30/2020,Rappahannock Rapidan,0-9,55,1,0
5/30/2020,Three Rivers,0-9,8,1,0
5/30/2020,Henrico,40-49,251,17,2
5/30/2020,Alexandria,50-59,255,37,9
5/30/2020,Arlington,0-9,37,2,0
5/30/2020,Chickahominy,Missing,7,0,0
5/30/2020,New River,20-29,27,0,0
5/30/2020,Virginia Beach,20-29,103,2,0
5/30/2020,Chesapeake,50-59,90,16,1
5/30/2020,Alleghany,80+,25,7,6
5/30/2020,Fairfax,10-19,571,14,0
5/30/2020,Chesapeake,60-69,72,19,4
5/30/2020,West Piedmont,Missing,1,0,0
5/30/2020,Peninsula,80+,46,23,15
5/30/2020,Crater,40-49,110,11,1
5/30/2020,Chesapeake,40-49,82,12,0
5/30/2020,Thomas Jefferson,20-29,67,0,0
5/30/2020,Lord Fairfax,20-29,230,3,0
5/30/2020,Norfolk,20-29,103,1,0
5/30/2020,Arlington,30-39,376,41,0
5/30/2020,West Piedmont,60-69,25,1,0
5/30/2020,Henrico,50-59,227,25,7
5/30/2020,West Piedmont,50-59,45,5,1
5/30/2020,Cumberland Plateau,20-29,1,0,0
5/30/2020,Alexandria,70-79,91,33,13
5/30/2020,Portsmouth,20-29,55,2,0
5/30/2020,Western Tidewater,30-39,68,4,0
5/30/2020,Central Shenandoah,0-9,39,0,0
5/30/2020,Henrico,80+,280,60,65
5/30/2020,Alexandria,0-9,110,1,0
5/30/2020,Pittsylvania-Danville,40-49,20,5,0
5/30/2020,Henrico,20-29,212,9,0
5/30/2020,Roanoke,60-69,10,1,0
5/30/2020,Peninsula,30-39,72,6,1
5/30/2020,Alleghany,60-69,27,6,1
5/30/2020,Prince William,70-79,211,57,31
5/30/2020,Norfolk,60-69,46,16,1
5/30/2020,Southside,40-49,20,5,0
5/30/2020,Chesterfield,30-39,296,2,0
5/30/2020,Loudoun,70-79,100,30,10
5/30/2020,Central Virginia,40-49,35,0,0
5/30/2020,New River,Missing,0,0,0
5/30/2020,Chickahominy,20-29,56,0,0
5/30/2020,New River,0-9,3,0,0
5/30/2020,Cumberland Plateau,0-9,0,0,0
5/30/2020,Three Rivers,70-79,24,5,4
5/30/2020,Rappahannock Rapidan,40-49,227,13,1
5/30/2020,Hampton,0-9,6,0,0
5/30/2020,Piedmont,50-59,148,12,0
5/30/2020,Rappahannock,20-29,259,9,0
5/30/2020,Henrico,10-19,59,2,0
5/30/2020,Mount Rogers,30-39,65,4,0
5/30/2020,Eastern Shore,30-39,195,6,0
5/30/2020,Chesterfield,0-9,33,0,0
5/30/2020,Central Shenandoah,10-19,82,1,0
5/30/2020,Crater,0-9,13,1,0
5/30/2020,Fairfax,70-79,561,194,81
5/30/2020,Rappahannock,80+,24,14,3
5/30/2020,Alexandria,10-19,132,1,0
5/30/2020,Portsmouth,40-49,47,4,0
5/30/2020,Three Rivers,50-59,74,5,0
5/30/2020,Alleghany,Missing,0,0,0
5/30/2020,Alexandria,30-39,456,23,0
5/30/2020,Southside,Missing,0,0,0
5/30/2020,Portsmouth,60-69,32,10,4
5/30/2020,Roanoke,30-39,29,0,0
5/30/2020,Three Rivers,60-69,66,10,0
5/30/2020,Fairfax,50-59,1769,229,24
5/30/2020,Portsmouth,50-59,53,12,1
5/30/2020,Chickahominy,80+,74,25,20
5/30/2020,Rappahannock Rapidan,50-59,164,19,1
5/30/2020,Fairfax,80+,702,252,240
5/30/2020,Hampton,Missing,8,0,0
5/30/2020,Cumberland Plateau,80+,0,0,0
5/30/2020,Alleghany,50-59,42,4,1
5/30/2020,Prince William,40-49,1471,106,4
5/30/2020,Fairfax,Missing,60,0,0
5/30/2020,Virginia Beach,40-49,111,14,1
5/30/2020,Richmond,Missing,11,0,0
5/30/2020,Norfolk,40-49,85,10,0
5/30/2020,Piedmont,80+,17,4,2
5/30/2020,Virginia Beach,60-69,98,14,1
5/30/2020,West Piedmont,40-49,30,3,1
5/30/2020,Arlington,10-19,70,5,0
5/30/2020,Lenowisco,0-9,3,0,0
5/30/2020,Pittsylvania-Danville,50-59,22,6,0
5/30/2020,Virginia Beach,50-59,109,12,0
5/30/2020,Chesapeake,Missing,11,1,0
5/30/2020,Central Shenandoah,80+,73,16,11
5/30/2020,Thomas Jefferson,40-49,75,5,0
5/30/2020,Rappahannock Rapidan,60-69,83,11,2
5/30/2020,Norfolk,30-39,108,8,0
5/30/2020,Rappahannock Rapidan,Missing,7,0,0
5/30/2020,Lord Fairfax,80+,99,26,27
5/30/2020,Three Rivers,10-19,17,0,0
5/30/2020,Piedmont,40-49,139,5,0
5/30/2020,Norfolk,80+,9,6,3
5/30/2020,Peninsula,20-29,73,1,0
5/30/2020,Norfolk,50-59,76,13,0
5/30/2020,Thomas Jefferson,50-59,74,8,1
5/30/2020,Richmond,70-79,52,23,8
5/30/2020,Chesterfield,70-79,85,16,12
5/30/2020,Piedmont,30-39,133,1,0
5/30/2020,Prince William,30-39,1258,65,2
5/30/2020,Alleghany,20-29,36,1,0
5/30/2020,Alleghany,0-9,1,0,0
5/30/2020,Mount Rogers,40-49,48,0,0
5/30/2020,Eastern Shore,40-49,206,8,2
5/30/2020,Central Virginia,60-69,35,3,1
5/30/2020,Richmond,10-19,75,2,0
5/30/2020,Pittsylvania-Danville,60-69,12,7,1
5/30/2020,Pittsylvania-Danville,Missing,0,0,0
5/30/2020,Chesterfield,60-69,163,18,8
5/30/2020,Southside,10-19,3,0,0
5/30/2020,New River,80+,6,2,0
5/30/2020,Central Virginia,50-59,32,2,1
5/30/2020,Hampton,70-79,13,6,0
5/30/2020,Pittsylvania-Danville,10-19,1,0,0
5/30/2020,Richmond,60-69,130,37,6
5/30/2020,West Piedmont,20-29,20,0,0
5/30/2020,Arlington,70-79,157,63,29
5/30/2020,Chickahominy,50-59,86,16,0
5/30/2020,Alleghany,40-49,23,0,0
5/30/2020,Prince William,50-59,1090,130,7
5/30/2020,Mount Rogers,0-9,18,1,0
5/30/2020,Eastern Shore,0-9,11,1,0
5/30/2020,Thomas Jefferson,60-69,55,16,2
5/30/2020,Pittsylvania-Danville,70-79,13,8,0
5/30/2020,Chesterfield,80+,106,19,29
5/30/2020,Richmond,0-9,37,2,0
5/30/2020,Chesapeake,80+,36,12,8
5/30/2020,Peninsula,40-49,71,5,1
5/30/2020,Henrico,0-9,57,1,0
5/30/2020,Lenowisco,80+,0,0,0
5/30/2020,Piedmont,60-69,107,13,2
5/30/2020,West Piedmont,0-9,4,0,0
5/30/2020,Rappahannock Rapidan,70-79,28,9,5
5/30/2020,Central Shenandoah,70-79,93,30,11
5/30/2020,Chesapeake,30-39,94,4,0
5/30/2020,Chickahominy,0-9,7,0,0
5/30/2020,Prince William,0-9,225,5,0
5/30/2020,Eastern Shore,50-59,244,12,5
5/30/2020,Mount Rogers,50-59,45,3,0
5/30/2020,Loudoun,10-19,153,0,0
5/30/2020,Southside,80+,71,7,9
5/30/2020,Central Virginia,80+,6,2,0
5/30/2020,Rappahannock,Missing,17,0,0
5/30/2020,Rappahannock Rapidan,30-39,238,11,1
5/30/2020,New River,50-59,17,3,0
5/30/2020,Richmond,80+,28,15,8
5/30/2020,Mount Rogers,20-29,51,0,0
5/30/2020,Eastern Shore,20-29,154,4,0
5/30/2020,Hampton,10-19,8,0,0
