Report Date,Health District,Ethnicity,Number of Cases,Number of Hospitalizations,Number of Deaths
5/30/2020,Southside,Not Reported,171,26,14
5/30/2020,Lord Fairfax,Hispanic or Latino,355,24,5
5/30/2020,Eastern Shore,Not Hispanic or Latino,831,70,29
5/30/2020,Portsmouth,Hispanic or Latino,9,2,0
5/30/2020,Fairfax,Not Reported,2951,118,120
5/30/2020,Richmond,Hispanic or Latino,370,36,3
5/30/2020,Chesapeake,Not Reported,114,7,0
5/30/2020,Arlington,Hispanic or Latino,693,153,14
5/30/2020,West Piedmont,Not Hispanic or Latino,105,13,3
5/30/2020,Fairfax,Not Hispanic or Latino,2753,618,233
5/30/2020,Piedmont,Hispanic or Latino,19,0,0
5/30/2020,Crater,Not Hispanic or Latino,292,56,9
5/30/2020,Chickahominy,Not Hispanic or Latino,205,65,28
5/30/2020,New River,Not Hispanic or Latino,64,14,1
5/30/2020,Lord Fairfax,Not Reported,375,23,14
5/30/2020,Rappahannock,Not Reported,530,24,1
5/30/2020,Central Shenandoah,Not Reported,230,5,5
5/30/2020,Central Virginia,Not Hispanic or Latino,76,12,3
5/30/2020,Lenowisco,Not Hispanic or Latino,23,11,2
5/30/2020,Cumberland Plateau,Not Hispanic or Latino,19,2,0
5/30/2020,Western Tidewater,Not Hispanic or Latino,371,67,38
5/30/2020,New River,Not Reported,33,0,0
5/30/2020,Chesterfield,Not Reported,989,22,22
5/30/2020,Chesterfield,Hispanic or Latino,266,9,0
5/30/2020,Hampton,Not Hispanic or Latino,128,29,3
5/30/2020,Chesapeake,Not Hispanic or Latino,371,75,14
5/30/2020,Peninsula,Hispanic or Latino,58,10,1
5/30/2020,Arlington,Not Reported,814,66,20
5/30/2020,Roanoke,Not Hispanic or Latino,75,9,8
5/30/2020,Lord Fairfax,Not Hispanic or Latino,644,72,31
5/30/2020,Eastern Shore,Hispanic or Latino,158,5,3
5/30/2020,Mount Rogers,Not Reported,19,2,0
5/30/2020,Three Rivers,Not Hispanic or Latino,298,26,3
5/30/2020,Thomas Jefferson,Not Reported,82,0,0
5/30/2020,Three Rivers,Not Reported,170,12,5
5/30/2020,Arlington,Not Hispanic or Latino,600,152,79
5/30/2020,Alleghany,Not Hispanic or Latino,122,17,15
5/30/2020,Loudoun,Not Reported,1307,6,8
5/30/2020,Fairfax,Hispanic or Latino,5322,583,44
5/30/2020,Peninsula,Not Reported,133,3,2
5/30/2020,Crater,Hispanic or Latino,38,1,0
5/30/2020,Piedmont,Not Hispanic or Latino,353,35,3
5/30/2020,Henrico,Hispanic or Latino,196,17,4
5/30/2020,Alexandria,Not Hispanic or Latino,577,102,35
5/30/2020,Central Virginia,Hispanic or Latino,14,1,1
5/30/2020,Alleghany,Not Reported,58,3,1
5/30/2020,Cumberland Plateau,Hispanic or Latino,0,0,0
5/30/2020,Western Tidewater,Hispanic or Latino,5,1,0
5/30/2020,Chesterfield,Not Hispanic or Latino,329,57,30
5/30/2020,Pittsylvania-Danville,Not Hispanic or Latino,64,20,3
5/30/2020,Mount Rogers,Hispanic or Latino,130,0,0
5/30/2020,Richmond,Not Reported,510,30,3
5/30/2020,Peninsula,Not Hispanic or Latino,392,102,29
5/30/2020,Chesapeake,Hispanic or Latino,35,5,1
5/30/2020,Southside,Hispanic or Latino,2,1,0
5/30/2020,Thomas Jefferson,Not Hispanic or Latino,352,69,19
5/30/2020,Norfolk,Not Hispanic or Latino,298,59,6
5/30/2020,Portsmouth,Not Reported,173,8,2
5/30/2020,Norfolk,Not Reported,109,1,0
5/30/2020,Three Rivers,Hispanic or Latino,42,0,0
5/30/2020,Eastern Shore,Not Reported,104,0,0
5/30/2020,Alleghany,Hispanic or Latino,19,4,0
5/30/2020,Henrico,Not Reported,681,25,25
5/30/2020,Henrico,Not Hispanic or Latino,877,159,104
5/30/2020,Loudoun,Not Hispanic or Latino,604,99,50
5/30/2020,Hampton,Not Reported,57,1,0
5/30/2020,Rappahannock Rapidan,Not Hispanic or Latino,239,28,8
5/30/2020,Alexandria,Not Reported,486,4,3
5/30/2020,Rappahannock,Not Hispanic or Latino,457,72,14
5/30/2020,Western Tidewater,Not Reported,254,3,1
5/30/2020,Cumberland Plateau,Not Reported,14,0,0
5/30/2020,Alexandria,Hispanic or Latino,897,81,6
5/30/2020,Virginia Beach,Not Hispanic or Latino,470,80,21
5/30/2020,Prince William,Hispanic or Latino,2446,331,29
5/30/2020,Virginia Beach,Not Reported,175,6,1
5/30/2020,Central Shenandoah,Hispanic or Latino,670,40,3
5/30/2020,Pittsylvania-Danville,Hispanic or Latino,8,1,0
5/30/2020,Mount Rogers,Not Hispanic or Latino,182,23,6
5/30/2020,Piedmont,Not Reported,344,12,3
5/30/2020,Southside,Not Hispanic or Latino,99,11,8
5/30/2020,Thomas Jefferson,Hispanic or Latino,81,1,0
5/30/2020,Pittsylvania-Danville,Not Reported,19,7,0
5/30/2020,Norfolk,Hispanic or Latino,83,9,0
5/30/2020,Portsmouth,Not Hispanic or Latino,125,34,9
5/30/2020,West Piedmont,Not Reported,42,6,2
5/30/2020,Richmond,Not Hispanic or Latino,369,83,18
5/30/2020,West Piedmont,Hispanic or Latino,42,0,0
5/30/2020,Prince William,Not Reported,3308,17,4
5/30/2020,Rappahannock Rapidan,Not Reported,371,13,2
5/30/2020,Chickahominy,Hispanic or Latino,26,2,0
5/30/2020,Lenowisco,Not Reported,19,5,2
5/30/2020,New River,Hispanic or Latino,12,1,0
5/30/2020,Crater,Not Reported,402,33,9
5/30/2020,Chickahominy,Not Reported,250,17,4
5/30/2020,Loudoun,Hispanic or Latino,618,57,4
5/30/2020,Rappahannock Rapidan,Hispanic or Latino,530,37,4
5/30/2020,Roanoke,Not Reported,45,0,1
5/30/2020,Rappahannock,Hispanic or Latino,526,54,2
5/30/2020,Lenowisco,Hispanic or Latino,0,0,0
5/30/2020,Virginia Beach,Hispanic or Latino,54,6,1
5/30/2020,Prince William,Not Hispanic or Latino,1003,205,87
5/30/2020,Central Virginia,Not Reported,117,3,0
5/30/2020,Central Shenandoah,Not Hispanic or Latino,617,75,22
5/30/2020,Hampton,Hispanic or Latino,12,0,0
5/30/2020,Roanoke,Hispanic or Latino,35,0,0
