Report Date,Health District,Ethnicity,Number of Cases,Number of Hospitalizations,Number of Deaths
5/10/2020,Southside,Not Reported,110,21,7
5/10/2020,Lord Fairfax,Hispanic or Latino,147,15,1
5/10/2020,Eastern Shore,Not Hispanic or Latino,488,30,10
5/10/2020,Portsmouth,Hispanic or Latino,6,2,0
5/10/2020,Fairfax,Not Reported,1588,90,76
5/10/2020,Richmond,Hispanic or Latino,94,11,1
5/10/2020,Chesapeake,Not Reported,98,9,2
5/10/2020,Arlington,Hispanic or Latino,296,91,6
5/10/2020,West Piedmont,Not Hispanic or Latino,39,6,1
5/10/2020,Fairfax,Not Hispanic or Latino,1763,476,149
5/10/2020,Piedmont,Hispanic or Latino,18,0,0
5/10/2020,Crater,Not Hispanic or Latino,136,40,7
5/10/2020,Chickahominy,Not Hispanic or Latino,148,50,19
5/10/2020,New River,Not Hispanic or Latino,54,11,1
5/10/2020,Lord Fairfax,Not Reported,199,9,5
5/10/2020,Rappahannock,Not Reported,260,20,1
5/10/2020,Central Shenandoah,Not Reported,207,2,5
5/10/2020,Central Virginia,Not Hispanic or Latino,53,9,1
5/10/2020,Lenowisco,Not Hispanic or Latino,21,9,2
5/10/2020,Cumberland Plateau,Not Hispanic or Latino,16,2,0
5/10/2020,Western Tidewater,Not Hispanic or Latino,299,52,23
5/10/2020,New River,Not Reported,32,1,0
5/10/2020,Chesterfield,Not Reported,538,16,15
5/10/2020,Chesterfield,Hispanic or Latino,79,3,0
5/10/2020,Hampton,Not Hispanic or Latino,105,28,3
5/10/2020,Chesapeake,Not Hispanic or Latino,214,54,6
5/10/2020,Peninsula,Hispanic or Latino,32,7,1
5/10/2020,Arlington,Not Reported,733,76,16
5/10/2020,Roanoke,Not Hispanic or Latino,62,6,1
5/10/2020,Lord Fairfax,Not Hispanic or Latino,358,38,15
5/10/2020,Eastern Shore,Hispanic or Latino,104,2,2
5/10/2020,Mount Rogers,Not Reported,13,2,0
5/10/2020,Three Rivers,Not Hispanic or Latino,195,20,3
5/10/2020,Thomas Jefferson,Not Reported,32,1,0
5/10/2020,Three Rivers,Not Reported,109,8,3
5/10/2020,Arlington,Not Hispanic or Latino,339,93,39
5/10/2020,Alleghany,Not Hispanic or Latino,88,16,3
5/10/2020,Loudoun,Not Reported,406,6,5
5/10/2020,Fairfax,Hispanic or Latino,2617,372,21
5/10/2020,Peninsula,Not Reported,81,2,2
5/10/2020,Crater,Hispanic or Latino,7,0,0
5/10/2020,Piedmont,Not Hispanic or Latino,223,21,3
5/10/2020,Henrico,Hispanic or Latino,56,13,2
5/10/2020,Alexandria,Not Hispanic or Latino,374,74,22
5/10/2020,Central Virginia,Hispanic or Latino,13,1,1
5/10/2020,Alleghany,Not Reported,38,1,0
5/10/2020,Cumberland Plateau,Hispanic or Latino,0,0,0
5/10/2020,Western Tidewater,Hispanic or Latino,3,0,0
5/10/2020,Chesterfield,Not Hispanic or Latino,254,47,17
5/10/2020,Pittsylvania-Danville,Not Hispanic or Latino,42,17,2
5/10/2020,Mount Rogers,Hispanic or Latino,63,0,0
5/10/2020,Richmond,Not Reported,156,13,2
5/10/2020,Peninsula,Not Hispanic or Latino,321,97,26
5/10/2020,Chesapeake,Hispanic or Latino,16,5,1
5/10/2020,Southside,Hispanic or Latino,1,0,0
5/10/2020,Thomas Jefferson,Not Hispanic or Latino,293,60,13
5/10/2020,Norfolk,Not Hispanic or Latino,215,44,5
5/10/2020,Portsmouth,Not Reported,107,8,1
5/10/2020,Norfolk,Not Reported,63,2,0
5/10/2020,Three Rivers,Hispanic or Latino,20,0,0
5/10/2020,Eastern Shore,Not Reported,79,0,0
5/10/2020,Alleghany,Hispanic or Latino,7,2,0
5/10/2020,Henrico,Not Reported,448,26,23
5/10/2020,Henrico,Not Hispanic or Latino,563,113,84
5/10/2020,Loudoun,Not Hispanic or Latino,423,74,23
5/10/2020,Hampton,Not Reported,33,1,0
5/10/2020,Rappahannock Rapidan,Not Hispanic or Latino,106,15,5
5/10/2020,Alexandria,Not Reported,299,7,4
5/10/2020,Rappahannock,Not Hispanic or Latino,258,57,11
5/10/2020,Western Tidewater,Not Reported,180,3,1
5/10/2020,Cumberland Plateau,Not Reported,13,0,0
5/10/2020,Alexandria,Hispanic or Latino,520,58,4
5/10/2020,Virginia Beach,Not Hispanic or Latino,357,73,15
5/10/2020,Prince William,Hispanic or Latino,1050,176,7
5/10/2020,Virginia Beach,Not Reported,106,7,1
5/10/2020,Central Shenandoah,Hispanic or Latino,429,23,2
5/10/2020,Pittsylvania-Danville,Hispanic or Latino,0,0,0
5/10/2020,Mount Rogers,Not Hispanic or Latino,92,15,4
5/10/2020,Piedmont,Not Reported,132,8,1
5/10/2020,Southside,Not Hispanic or Latino,51,8,3
5/10/2020,Thomas Jefferson,Hispanic or Latino,20,1,0
5/10/2020,Pittsylvania-Danville,Not Reported,13,4,0
5/10/2020,Norfolk,Hispanic or Latino,26,4,0
5/10/2020,Portsmouth,Not Hispanic or Latino,89,28,7
5/10/2020,West Piedmont,Not Reported,13,2,0
5/10/2020,Richmond,Not Hispanic or Latino,280,66,15
5/10/2020,West Piedmont,Hispanic or Latino,3,0,0
5/10/2020,Prince William,Not Reported,1591,12,1
5/10/2020,Rappahannock Rapidan,Not Reported,181,8,2
5/10/2020,Chickahominy,Hispanic or Latino,5,2,0
5/10/2020,Lenowisco,Not Reported,20,5,1
5/10/2020,New River,Hispanic or Latino,2,0,0
5/10/2020,Crater,Not Reported,142,26,7
5/10/2020,Chickahominy,Not Reported,145,13,4
5/10/2020,Loudoun,Hispanic or Latino,330,35,2
5/10/2020,Rappahannock Rapidan,Hispanic or Latino,224,18,3
5/10/2020,Roanoke,Not Reported,21,0,0
5/10/2020,Rappahannock,Hispanic or Latino,244,39,0
5/10/2020,Lenowisco,Hispanic or Latino,0,0,0
5/10/2020,Virginia Beach,Hispanic or Latino,28,5,1
5/10/2020,Prince William,Not Hispanic or Latino,600,130,44
5/10/2020,Central Virginia,Not Reported,90,3,0
5/10/2020,Central Shenandoah,Not Hispanic or Latino,410,35,17
5/10/2020,Hampton,Hispanic or Latino,6,0,0
5/10/2020,Roanoke,Hispanic or Latino,10,0,0
