Report Date,Health District,Ethnicity,Number of Cases,Number of Hospitalizations,Number of Deaths
5/11/2020,Southside,Not Reported,122,21,7
5/11/2020,Lord Fairfax,Hispanic or Latino,149,15,1
5/11/2020,Eastern Shore,Not Hispanic or Latino,495,30,10
5/11/2020,Portsmouth,Hispanic or Latino,6,2,0
5/11/2020,Fairfax,Not Reported,1653,90,77
5/11/2020,Richmond,Hispanic or Latino,103,11,1
5/11/2020,Chesapeake,Not Reported,96,9,1
5/11/2020,Arlington,Hispanic or Latino,300,95,5
5/11/2020,West Piedmont,Not Hispanic or Latino,41,6,1
5/11/2020,Fairfax,Not Hispanic or Latino,1822,485,151
5/11/2020,Piedmont,Hispanic or Latino,18,0,0
5/11/2020,Crater,Not Hispanic or Latino,144,42,7
5/11/2020,Chickahominy,Not Hispanic or Latino,148,50,19
5/11/2020,New River,Not Hispanic or Latino,54,11,1
5/11/2020,Lord Fairfax,Not Reported,202,9,5
5/11/2020,Rappahannock,Not Reported,268,20,1
5/11/2020,Central Shenandoah,Not Reported,214,2,5
5/11/2020,Central Virginia,Not Hispanic or Latino,53,9,1
5/11/2020,Lenowisco,Not Hispanic or Latino,21,9,2
5/11/2020,Cumberland Plateau,Not Hispanic or Latino,16,2,0
5/11/2020,Western Tidewater,Not Hispanic or Latino,302,52,23
5/11/2020,New River,Not Reported,33,1,0
5/11/2020,Chesterfield,Not Reported,535,15,15
5/11/2020,Chesterfield,Hispanic or Latino,80,3,0
5/11/2020,Hampton,Not Hispanic or Latino,107,28,3
5/11/2020,Chesapeake,Not Hispanic or Latino,229,56,7
5/11/2020,Peninsula,Hispanic or Latino,32,7,1
5/11/2020,Arlington,Not Reported,759,93,16
5/11/2020,Roanoke,Not Hispanic or Latino,66,7,1
5/11/2020,Lord Fairfax,Not Hispanic or Latino,362,38,15
5/11/2020,Eastern Shore,Hispanic or Latino,105,2,2
5/11/2020,Mount Rogers,Not Reported,16,2,0
5/11/2020,Three Rivers,Not Hispanic or Latino,196,20,3
5/11/2020,Thomas Jefferson,Not Reported,34,1,0
5/11/2020,Three Rivers,Not Reported,111,8,3
5/11/2020,Arlington,Not Hispanic or Latino,340,98,39
5/11/2020,Alleghany,Not Hispanic or Latino,101,17,3
5/11/2020,Loudoun,Not Reported,427,6,5
5/11/2020,Fairfax,Hispanic or Latino,2801,386,22
5/11/2020,Peninsula,Not Reported,81,3,2
5/11/2020,Crater,Hispanic or Latino,10,1,0
5/11/2020,Piedmont,Not Hispanic or Latino,223,21,3
5/11/2020,Henrico,Hispanic or Latino,58,13,2
5/11/2020,Alexandria,Not Hispanic or Latino,381,74,22
5/11/2020,Central Virginia,Hispanic or Latino,13,1,1
5/11/2020,Alleghany,Not Reported,40,1,0
5/11/2020,Cumberland Plateau,Hispanic or Latino,0,0,0
5/11/2020,Western Tidewater,Hispanic or Latino,3,0,0
5/11/2020,Chesterfield,Not Hispanic or Latino,258,48,17
5/11/2020,Pittsylvania-Danville,Not Hispanic or Latino,42,17,2
5/11/2020,Mount Rogers,Hispanic or Latino,69,0,0
5/11/2020,Richmond,Not Reported,163,15,2
5/11/2020,Peninsula,Not Hispanic or Latino,330,98,27
5/11/2020,Chesapeake,Hispanic or Latino,15,5,1
5/11/2020,Southside,Hispanic or Latino,1,0,0
5/11/2020,Thomas Jefferson,Not Hispanic or Latino,296,60,13
5/11/2020,Norfolk,Not Hispanic or Latino,216,44,5
5/11/2020,Portsmouth,Not Reported,112,8,1
5/11/2020,Norfolk,Not Reported,65,2,0
5/11/2020,Three Rivers,Hispanic or Latino,20,0,0
5/11/2020,Eastern Shore,Not Reported,94,0,0
5/11/2020,Alleghany,Hispanic or Latino,11,4,0
5/11/2020,Henrico,Not Reported,459,26,23
5/11/2020,Henrico,Not Hispanic or Latino,566,113,85
5/11/2020,Loudoun,Not Hispanic or Latino,429,75,23
5/11/2020,Hampton,Not Reported,30,1,0
5/11/2020,Rappahannock Rapidan,Not Hispanic or Latino,110,16,5
5/11/2020,Alexandria,Not Reported,310,7,4
5/11/2020,Rappahannock,Not Hispanic or Latino,264,58,11
5/11/2020,Western Tidewater,Not Reported,180,3,1
5/11/2020,Cumberland Plateau,Not Reported,13,0,0
5/11/2020,Alexandria,Hispanic or Latino,533,58,4
5/11/2020,Virginia Beach,Not Hispanic or Latino,368,73,15
5/11/2020,Prince William,Hispanic or Latino,1187,190,9
5/11/2020,Virginia Beach,Not Reported,107,7,1
5/11/2020,Central Shenandoah,Hispanic or Latino,439,23,2
5/11/2020,Pittsylvania-Danville,Hispanic or Latino,0,0,0
5/11/2020,Mount Rogers,Not Hispanic or Latino,97,15,4
5/11/2020,Piedmont,Not Reported,132,8,1
5/11/2020,Southside,Not Hispanic or Latino,52,8,3
5/11/2020,Thomas Jefferson,Hispanic or Latino,21,1,0
5/11/2020,Pittsylvania-Danville,Not Reported,14,4,0
5/11/2020,Norfolk,Hispanic or Latino,27,4,0
5/11/2020,Portsmouth,Not Hispanic or Latino,90,28,7
5/11/2020,West Piedmont,Not Reported,15,2,0
5/11/2020,Richmond,Not Hispanic or Latino,280,66,15
5/11/2020,West Piedmont,Hispanic or Latino,3,0,0
5/11/2020,Prince William,Not Reported,1729,14,1
5/11/2020,Rappahannock Rapidan,Not Reported,184,9,2
5/11/2020,Chickahominy,Hispanic or Latino,5,2,0
5/11/2020,Lenowisco,Not Reported,20,5,1
5/11/2020,New River,Hispanic or Latino,2,0,0
5/11/2020,Crater,Not Reported,141,26,7
5/11/2020,Chickahominy,Not Reported,146,13,4
5/11/2020,Loudoun,Hispanic or Latino,339,35,2
5/11/2020,Rappahannock Rapidan,Hispanic or Latino,240,18,3
5/11/2020,Roanoke,Not Reported,25,0,0
5/11/2020,Rappahannock,Hispanic or Latino,250,40,0
5/11/2020,Lenowisco,Hispanic or Latino,0,0,0
5/11/2020,Virginia Beach,Hispanic or Latino,30,5,1
5/11/2020,Prince William,Not Hispanic or Latino,638,135,48
5/11/2020,Central Virginia,Not Reported,92,3,0
5/11/2020,Central Shenandoah,Not Hispanic or Latino,417,36,17
5/11/2020,Hampton,Hispanic or Latino,9,0,0
5/11/2020,Roanoke,Hispanic or Latino,15,0,0
