State,County,Cases,Deaths,Tests,Date
District of Columbia,NA,3206,127,15502,2020-04-21
Maryland,NA,14775,698,76529,2020-04-21
NA,Calvert,118,5,NA,2020-04-21
NA,Frederick,658,35,NA,2020-04-21
NA,Montgomery,2868,126,NA,2020-04-21
NA,Prince Georges,3875,132,NA,2020-04-21
Virginia,NA,10266,349,60778,2020-04-21
NA,Alexandria City,474,12,NA,2020-04-21
NA,Loudoun County,475,9,NA,2020-04-21
NA,Culpeper County,73,1,NA,2020-04-21
NA,Arlington County,663,24,NA,2020-04-21
NA,Prince William County,924,17,NA,2020-04-21
NA,Fairfax County,2256,66,NA,2020-04-21
District of Columbia,NA,3098,112,14939,2020-04-20
Maryland,NA,14193,652,73635,2020-04-20
NA,Calvert,116,4,NA,2020-04-20
NA,Frederick,632,33,NA,2020-04-20
NA,Montgomery,2768,116,NA,2020-04-20
NA,Prince Georges,3734,118,NA,2020-04-20
Virginia,NA,9630,324,58354,2020-04-20
NA,Fairfax,2077,64,NA,2020-04-20
NA,Loudoun,468,8,NA,2020-04-20
NA,Arlington,625,23,NA,2020-04-20
NA,Culpeper,65,1,NA,2020-04-20
NA,Prince William,867,16,NA,2020-04-20
NA,Alexandria,462,9,NA,2020-04-20
District of Columbia,NA,2927,105,14113,2020-04-19
Maryland,NA,13684,516,71397,2020-04-19
NA,Calvert,114,3,NA,2020-04-19
NA,Frederick,616,30,NA,2020-04-19
NA,Montgomery,2647,106,NA,2020-04-19
NA,Prince Georges,3583,112,NA,2020-04-19
Virginia,NA,8990,300,56735,2020-04-19
NA,Arlington,593,22,NA,2020-04-19
NA,Culpeper,51,NA,NA,2020-04-19
NA,Prince William,793,17,NA,2020-04-19
NA,Alexandria,421,8,NA,2020-04-19
NA,Fairfax,1925,59,NA,2020-04-19
NA,Loudoun,446,8,NA,2020-04-19
District of Columbia,NA,2793,96,13699,2020-04-18
Maryland,NA,12830,486,67891,2020-04-18
NA,Calvert,113,3,NA,2020-04-18
NA,Frederick,591,30,NA,2020-04-18
NA,Montgomery,2507,96,NA,2020-04-18
NA,Prince Georges,3345,105,NA,2020-04-18
Virginia,NA,8537,277,54733,2020-04-18
NA,Arlington,575,20,NA,2020-04-18
NA,Culpeper,43,NA,NA,2020-04-18
NA,Prince William,742,16,NA,2020-04-18
NA,Alexandria,383,7,NA,2020-04-18
NA,Fairfax,1809,48,NA,2020-04-18
NA,Loudoun,425,7,NA,2020-04-18
District of Columbia,NA,2666,91,13268,2020-04-17
Maryland,NA,12308,463,65370,2020-04-17
NA,Calvert,109,2,NA,2020-04-17
NA,Frederick,557,31,NA,2020-04-17
NA,Montgomery,2404,86,NA,2020-04-17
NA,Prince Georges,3160,95,NA,2020-04-17
Virginia,NA,8053,258,51931,2020-04-17
NA,Arlington,520,17,NA,2020-04-17
NA,Culpeper,39,NA,NA,2020-04-17
NA,Prince William,700,15,NA,2020-04-17
NA,Alexandria,354,7,NA,2020-04-17
NA,Fairfax,1633,43,NA,2020-04-17
NA,Loudoun,413,7,NA,2020-04-17
District of Columbia,NA,2476,86,12643,2020-04-16
Maryland,NA,11572,425,62009,2020-04-16
NA,Calvert,109,2,NA,2020-04-16
NA,Frederick,525,30,NA,2020-04-16
NA,Montgomery,2280,78,NA,2020-04-16
NA,Prince Georges,2966,87,NA,2020-04-16
Virginia,NA,7491,231,48997,2020-04-16
NA,Arlington,485,15,NA,2020-04-16
NA,Culpeper,32,NA,NA,2020-04-16
NA,Prince William,644,14,NA,2020-04-16
NA,Alexandria,321,5,NA,2020-04-16
NA,Fairfax,1476,37,NA,2020-04-16
NA,Loudoun,385,7,NA,2020-04-16
District of Columbia,NA,2350,81,12150,2020-04-15
